id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
7432,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7443,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7449,same as saree,zari,big border,white,traditional,default,default,zari woven,default,no
7451,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7486,same as saree,temple border,big border,yellow,daily,jacquard,zari woven,solid,solid,yes
7487,solid,zari,big border,default,party,jacquard,zari woven,solid,solid,no
7502,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,yes
7506,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7507,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7518,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
7520,same as border,zari,big border,multicolor,daily,tassels and latkans,default,woven design,checked,no
7521,default,woven design,small border,default,traditional,default,default,woven design,ethnic motif,no
7522,same as saree,solid,small border,white,traditional,jacquard,woven design,woven design,floral,yes
7527,same as border,zari,small border,default,party,jacquard,zari woven,solid,solid,yes
7528,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7529,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7536,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
7550,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
7561,same as saree,no border,no border,multicolor,party,default,same as saree,default,floral,no
7590,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
7593,same as border,zari,big border,default,daily,jacquard,default,solid,solid,no
7595,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
7601,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7605,solid,zari,big border,default,party,jacquard,zari woven,solid,solid,no
7608,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7617,same as saree,solid,small border,white,traditional,jacquard,woven design,woven design,floral,yes
7619,same as border,zari,big border,multicolor,party,tassels and latkans,default,printed,default,no
7626,same as saree,solid,big border,white,traditional,jacquard,same as saree,zari woven,default,no
7627,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
7634,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
7654,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7660,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
7673,same as saree,zari,small border,white,traditional,default,same as saree,zari woven,default,no
7674,solid,zari,big border,default,daily,jacquard,default,solid,solid,no
7684,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7707,same as saree,zari,small border,cream,party,jacquard,same as saree,zari woven,peacock,no
7712,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7725,same as saree,temple border,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
7726,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7733,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7737,default,zari,small border,green,traditional,jacquard,default,zari woven,ethnic motif,no
7741,same as saree,zari,small border,white,daily,default,same as saree,zari woven,floral,no
7749,same as saree,woven design,small border,default,wedding,default,same as saree,zari woven,ethnic motif,no
7764,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
7766,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7767,same as border,woven design,big border,navy blue,traditional,default,zari woven,zari woven,peacock,no
7768,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,yes
7775,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,woven design,checked,no
7794,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7810,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7813,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7822,same as border,zari,small border,default,party,jacquard,zari woven,solid,solid,yes
7849,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,yes
7850,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
7870,same as border,zari,small border,green,traditional,default,default,woven design,default,no
7879,same as saree,woven design,small border,multicolor,party,jacquard,zari woven,zari woven,peacock,no
7891,same as saree,zari,small border,default,daily,tassels and latkans,same as saree,zari woven,floral,no
7914,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7919,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,printed,checked,no
7920,same as saree,zari,no border,white,daily,default,zari woven,zari woven,default,no
7923,solid,zari,big border,default,daily,jacquard,default,solid,solid,no
7928,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
7929,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7933,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
7938,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7948,same as saree,temple border,small border,cream,party,default,woven design,zari woven,peacock,no
